Establishments,Address,City,Zip,Longitude,Latitude,County,Type,Date,Violations/COS
A & G Steak Out,501 West 9th Street,Wilmington,19801,-75.55271309999999,39.7465577,New Castle County,Routine,04/26/2007,3-501.17
A & G Steak Out,501 West 9th Street,Wilmington,19801,-75.55271309999999,39.7465577,New Castle County,Routine,05/14/2008,3-501.17 /No
A & G Steak Out,501 West 9th Street,Wilmington,19801,-75.55271309999999,39.7465577,New Castle County,Other,03/09/2009,None
A & G Steak Out,501 West 9th Street,Wilmington,19801,-75.55271309999999,39.7465577,New Castle County,Routine,04/07/2010,None
A & G Steak Out,501 West 9th Street,Wilmington,19801,-75.55271309999999,39.7465577,New Castle County,Routine,07/14/2010,3-501.16 /Yes
A & G Steak Out,501 West 9th Street,Wilmington,19801,-75.55271309999999,39.7465577,New Castle County,Routine,01/11/2011,None
A & G Steak Out,501 West 9th Street,Wilmington,19801,-75.55271309999999,39.7465577,New Castle County,Routine,10/04/2011,"3-301.11 /No, 3-302.11 /No"
A & G Steak Out,501 West 9th Street,Wilmington,19801,-75.55271309999999,39.7465577,New Castle County,Followup,10/06/2011,None
A & G Steak Out,501 West 9th Street,Wilmington,19801,-75.55271309999999,39.7465577,New Castle County,Routine,03/23/2012,"3-501.17 /Yes, 3-301.12 /Yes"
A & G Steak Out,501 West 9th Street,Wilmington,19801,-75.55271309999999,39.7465577,New Castle County,Routine,09/13/2012,"3-301.12 /No, 7-101.11 /Yes, 3-501.16 /No"
A & G Steak Out,501 West 9th Street,Wilmington,19801,-75.55271309999999,39.7465577,New Castle County,Followup,09/19/2012,None
A & G Steak Out,501 West 9th Street,Wilmington,19801,-75.55271309999999,39.7465577,New Castle County,Other,04/24/2013,None
A & G Steak Out,501 West 9th Street,Wilmington,19801,-75.55271309999999,39.7465577,New Castle County,Routine,05/08/2013,None
A & G Steak Out,501 West 9th Street,Wilmington,19801,-75.55271309999999,39.7465577,New Castle County,Routine,12/03/2013,3-501.18 /Yes
"A & H Hot Bagels, Inc.",28 Georgetown Plaza,Georgetown,19947,-75.3967706,38.6804604,Sussex,Routine,01/22/2007,3-302.11
"A & H Hot Bagels, Inc.",28 Georgetown Plaza,Georgetown,19947,-75.3967706,38.6804604,Sussex,Routine,08/03/2007,None
"A & H Hot Bagels, Inc.",28 Georgetown Plaza,Georgetown,19947,-75.3967706,38.6804604,Sussex,Routine,08/04/2008,None
"A & H Hot Bagels, Inc.",28 Georgetown Plaza,Georgetown,19947,-75.3967706,38.6804604,Sussex,Routine,05/22/2009,"4-501.114 /Yes, 5-205.15 /No"
"A & H Hot Bagels, Inc.",28 Georgetown Plaza,Georgetown,19947,-75.3967706,38.6804604,Sussex,Followup,05/29/2009,None
"A & H Hot Bagels, Inc.",28 Georgetown Plaza,Georgetown,19947,-75.3967706,38.6804604,Sussex,Routine,03/16/2010,3-202.11 /Yes
"A & H Hot Bagels, Inc.",28 Georgetown Plaza,Georgetown,19947,-75.3967706,38.6804604,Sussex,Followup,04/21/2010,None
"A & H Hot Bagels, Inc.",28 Georgetown Plaza,Georgetown,19947,-75.3967706,38.6804604,Sussex,Followup,04/29/2010,None
A & J Jamaican Cuisine,2709 North Market Street,Wilmington,19802,-75.534621,39.755331,New Castle County,Routine,01/04/2008,None
A & J Jamaican Cuisine,2709 North Market Street,Wilmington,19802,-75.534621,39.755331,New Castle County,Routine,01/08/2009,None
A & J Jamaican Cuisine,2709 North Market Street,Wilmington,19802,-75.534621,39.755331,New Castle County,Routine,07/22/2009,None
A & R Bakery,701 North Broad Street,Middletown,19709,-75.71730289999999,39.4583829,New Castle County,Routine,07/16/2007,None
A & R Bakery,701 North Broad Street,Middletown,19709,-75.71730289999999,39.4583829,New Castle County,Routine,07/31/2008,None
A & R Bakery,701 North Broad Street,Middletown,19709,-75.71730289999999,39.4583829,New Castle County,Routine,04/24/2009,7-101.11 /Yes
A & R Bakery,701 North Broad Street,Middletown,19709,-75.71730289999999,39.4583829,New Castle County,Routine,10/09/2009,None
A & R Bakery,701 North Broad Street,Middletown,19709,-75.71730289999999,39.4583829,New Castle County,Routine,04/08/2010,None
A & R Bakery,701 North Broad Street,Middletown,19709,-75.71730289999999,39.4583829,New Castle County,Routine,06/23/2011,None
A & R Bakery,701 North Broad Street,Middletown,19709,-75.71730289999999,39.4583829,New Castle County,Routine,12/16/2011,None
A & R Bakery,701 North Broad Street,Middletown,19709,-75.71730289999999,39.4583829,New Castle County,Routine,07/27/2012,None
A & R Bakery,701 North Broad Street,Middletown,19709,-75.71730289999999,39.4583829,New Castle County,Routine,01/11/2013,None
A & R Bakery,701 North Broad Street,Middletown,19709,-75.71730289999999,39.4583829,New Castle County,Routine,07/10/2015,None
A & R General Store,32665 Oak Orchard Road,Millsboro,19966,-75.175423,38.59776,Sussex,Routine,02/28/2007,None
A & R General Store,32665 Oak Orchard Road,Millsboro,19966,-75.175423,38.59776,Sussex,Routine,07/03/2014,"3-301.11 /No, 7-102.11 /Yes, 4-302.14 /No, 2-201.11 /Yes, 3-302.11 /No, 4-702.11 /Yes, 5-205.15 /No"
A & S Country Grill,1373 Hammondtown Road,Harrington,19952,-75.605098,38.882094,Kent,Routine,11/02/2007,None
A & S Country Grill,1373 Hammondtown Road,Harrington,19952,-75.605098,38.882094,Kent,Routine,12/18/2008,None
A & S Country Grill,1373 Hammondtown Road,Harrington,19952,-75.605098,38.882094,Kent,Routine,09/29/2009,None
A & S Country Grill,1373 Hammondtown Road,Harrington,19952,-75.605098,38.882094,Kent,Routine,09/14/2010,None
A & S Country Grill,1373 Hammondtown Road,Harrington,19952,-75.605098,38.882094,Kent,Routine,09/12/2011,None
A & S Country Grill,1373 Hammondtown Road,Harrington,19952,-75.605098,38.882094,Kent,Routine,06/26/2012,None
A & S Country Grill,1373 Hammondtown Road,Harrington,19952,-75.605098,38.882094,Kent,Routine,09/09/2013,None
A & S Country Grill,1373 Hammondtown Road,Harrington,19952,-75.605098,38.882094,Kent,Routine,09/16/2014,None
A Muse (S129601),44 Baltimore Ave,Rehoboth Beach,19971,-75.0800175,38.7171148,Sussex,Other,05/08/2012,None
A Muse (S129601),44 Baltimore Ave,Rehoboth Beach,19971,-75.0800175,38.7171148,Sussex,Routine,06/21/2012,"3-501.14 /Yes, 8-103.12 /Yes, 3-502.12 /Yes"
A Muse (S129601),44 Baltimore Ave,Rehoboth Beach,19971,-75.0800175,38.7171148,Sussex,Routine,01/04/2013,"3-501.14 /Yes, 4-501.114 /Yes"
A Muse (S129601),44 Baltimore Ave,Rehoboth Beach,19971,-75.0800175,38.7171148,Sussex,Routine,01/24/2013,3-303.11 /Yes
A Muse (S129601),44 Baltimore Ave,Rehoboth Beach,19971,-75.0800175,38.7171148,Sussex,Routine,07/19/2013,None
A Muse (S129601),44 Baltimore Ave,Rehoboth Beach,19971,-75.0800175,38.7171148,Sussex,Routine,07/31/2014,3-603.11 /No
A Muse (S129601),44 Baltimore Ave,Rehoboth Beach,19971,-75.0800175,38.7171148,Sussex,Routine,01/22/2015,4-703.11 /Yes
A Muse (S129601),44 Baltimore Ave,Rehoboth Beach,19971,-75.0800175,38.7171148,Sussex,Routine,08/05/2015,None
A Piece of Ireland,2-3 Chesmar Plaza,Newark,19713,-75.7267128,39.661972,New Castle County,Routine,10/10/2007,4-202.11 /Yes
A Piece of Ireland,2-3 Chesmar Plaza,Newark,19713,-75.7267128,39.661972,New Castle County,Routine,02/25/2009,3-501.16 /Yes
A Piece of Ireland,2-3 Chesmar Plaza,Newark,19713,-75.7267128,39.661972,New Castle County,Routine,10/07/2009,3-301.11 /Yes
A Piece of Ireland,2-3 Chesmar Plaza,Newark,19713,-75.7267128,39.661972,New Castle County,Routine,03/31/2010,"3-302.11 /No, 3-401.11 /No, 3-501.14 /No, 3-501.16 /No, 3-501.18 /No, 4-601.11 /No, 4-702.11 /Yes"
A Piece of Ireland,2-3 Chesmar Plaza,Newark,19713,-75.7267128,39.661972,New Castle County,Followup,04/09/2010,"3-401.11 /No, 3-501.14 /No, 4-702.11 /Yes"
A Piece of Ireland,2-3 Chesmar Plaza,Newark,19713,-75.7267128,39.661972,New Castle County,Followup,04/16/2010,3-501.14 /No
A Piece of Ireland,2-3 Chesmar Plaza,Newark,19713,-75.7267128,39.661972,New Castle County,Followup,04/23/2010,None
A Piece of Ireland,2-3 Chesmar Plaza,Newark,19713,-75.7267128,39.661972,New Castle County,Routine,10/21/2010,None
